Grammar,Swedish,English,Type,Examples
,angelägen,keen,adjective,
att,skylla,blame,verb,e.g. skylla på
,ont,evil,adverb,
att,engagera,engage,verb,e.g. engagera sig
en,beräkning,calculation,noun-en,
,välkommen,welcome,adjective,
,ideologisk,ideological,adjective,
ett,finger,finger,noun-ett,
ett,hål,hole,noun-ett,
en,prövning,examination,noun-en,
,vettig,sensible,adjective,
,komplicerad,complicated,adjective,
,sund,sound,adjective,
en,domare,judge,noun-en,
en,frukt,fruit,noun-en,
en,signal,signal,noun-en,
,guld,gold,noun-ett,
,homosexuell,homosexual,adjective,
en,brottslighet,crime,noun-en,
,rejäl,hearty,adjective,
en,rättegång,trial,noun-en,
ett,mått,measure,noun-ett,
en,kammare,chamber,noun-en,
en,nazist,nazi,noun-en,
att,förefalla,appear,verb,
,efteråt,afterwards,adverb,
en,försäkring,insurance,noun-en,
en,konung,king,noun-en,
,såklart,of course,adverb,
ett,ändamål,purpose,noun-ett,
,avsedd,intended,adjective,
,generell,general,adjective,
,kommunism,communism,noun-en,
att,dölja,hide,verb,
en,arab,arab,noun-en,
att,sträva,strive,verb,
en,stämning,atmosphere,noun-en,
ett,torg,square,noun-ett,
,planerad,planned,adjective,
,utrustning,equipment,noun-en,
att,vandra,hike,verb,
att,registrera,register,verb,
att,argumentera,argue,verb,
ett,kök,kitchen,noun-ett,
att,uppgå,amount,verb,
,visst,certainly,interj,
en,bön,prayer,noun-en,
en,anläggning,plant,noun-en,
,filosofi,philosophy,noun-en,
att,gråta,cry,verb,
ett,underlag,basis,noun-ett,
,typisk,typical,adjective,
att,förespråka,advocate,verb,
en,smärta,pain,noun-en,
ett,uppror,uprising,noun-ett,
,strategisk,strategic,adjective,
en,symbol,symbol,noun-en,
,radikal,radical,adjective,
en,VD,ceo,noun-en,
en,frid,peace,noun-en,
,arbetskraft,labour,noun-en,
att,bevilja,grant,verb,
en,rot,root,noun-en,
att,förmå,induce,verb,
,rak,straight,adjective,
att,formulera,formulate,verb,
,jämställdhet,equality,noun-en,
en,existens,existence,noun-en,
en,bonde,peasant,noun-en,
att,bränna,burn,verb,
,italiensk,italian,adjective,
en,utgift,spending,noun-en,
en,förbättring,improvement,noun-en,
att,föreställa,imagine,verb,e.g. föreställa sig
en,operation,operation,noun-en,
att,landa,land,verb,
,service,service,noun-en,
att,låsa,lock,verb,
att,varna,warn,verb,
att,anställa,hire,verb,
ett,förtryck,oppression,noun-ett,
en,varelse,creature,noun-en,
,tyst,silent,adjective,
,bredvid,beside,prep,
att,syssla,occupation,verb,
att,drömma,dream,verb,
ett,evangelium,gospel,noun-ett,
en,planet,planet,noun-en,
,organiserad,organized,adjective,
ett,fält,field,noun-ett,
en,omröstning,vote,noun-en,
,psykisk,psychological,adjective,
ett,fåtal,few,noun-ett,
,öppet,open,adverb,
att,överväga,consider,verb,
ett,stopp,stop,noun-ett,
en,tråd,wire,noun-en,
ett,prov,sample,noun-ett,
ett,sinne,mind,noun-ett,
,sorg,sorrow,noun-en,
,ensamt,alone,adverb,
,gemensamt,commonly,adverb,
,bort,away,adverb,
,kommersiell,commercial,adjective,
,före,before,adverb,
,sist,last,adverb,
,i,in,adverb,
att,lämpa,suitable,verb,
,annorlunda,different,adverb,
att,lura,fool,verb,
,förvisso,certainly,adverb,
,övervakning,monitoring,noun-en,
,pågående,ongoing,adjective,
en,utvärdering,evaluation,noun-en,
,trygg,safe,adjective,
ett,arv,heritage,noun-ett,
ett,seminarium,seminar,noun-ett,
att,besvara,answer,verb,
ett,övergrepp,abuse,noun-ett,
ett,pass,pass,noun-ett,
att,ljuga,lie,verb,
en,uppdatering,update,noun-en,
,grekisk,greek,adjective,
,närvaro,presence,noun-en,
en,tidskrift,journal,noun-en,
en,infrastruktur,infrastructure,noun-en,
en,biskop,bishop,noun-en,
ett,läger,camp,noun-ett,
,mer,more,adverb,
en,adress,address,noun-en,
,efterhand,post,adverb,
,förvånad,amazed,adjective,
,ovanlig,unusual,adjective,
,jävla,fucking,adjective,(stötande)
ett,kontrakt,contract,noun-ett,
,skild,separate,adjective,
,daglig,daily,adjective,
,penningpolitik,monetary,noun-en,
,röstning,voting,noun-en,
,lugnt,calmly,adverb,
en,video,video,noun-en,
,med,with,prep,
att,översätta,translate,verb,
en,fågel,bird,noun-en,
att,inkludera,include,verb,
en,era,era,noun-en,
,rörande,concerning,prep,
att,förena,reconcile,verb,
,ledig,free,adjective,
,kärnkraft,nuclear power,noun-en,
,onödig,unnecessary,adjective,
en,ryss,russian,noun-en,
,känslig,sensitive,adjective,
en,smak,taste,noun-en,
en,order,order,noun-en,
,avancerad,advanced,adjective,
ett,deltagande,participation,noun-ett,
en,nämnd,board,noun-en,
,absolut,absolutely,adjective,
en,israel,israel,noun-en,
att,prioritera,prioritize,verb,
att,tillägga,add,verb,
att,blåsa,blow,verb,e.g. blåsa upp
en,trädgård,garden,noun-en,
ett,kors,cross,noun-ett,
,nyfiken,curious,adjective,
en,kombination,combination,noun-en,
ett,mod,courage,noun-ett,
ett,landskap,landscape,noun-ett,
att,överlämna,submit,verb,
en,vinnare,winner,noun-en,
,oskyldig,innocent,adjective,
att,fastna,get caught,verb,
en,förväntning,expectations,noun-en,
en,temperatur,temperature,noun-en,
,övergripande,overall,adjective,
att,motverka,counteract,verb,
,våldsam,violent,adjective,
ett,fack,compartment,noun-ett,
att,komplettera,complete,verb,
ett,protokoll,protocol,noun-ett,
en,webb,web,noun-en,
att,bota,cure,verb,
ett,förlag,publishers,noun-ett,
att,bege,go,verb,
en,konsumtion,consumption,noun-en,
,värdefull,valuable,adjective,
en,kost,diet,noun-en,
,godkänd,approved,adjective,
ett,datum,date,noun-ett,
,därtill,thereto,adverb,
en,recension,review,noun-en,
,till,to,adverb,
,omsorg,care,noun-en,
ett,kriterium,criterion,noun-ett,
en,fånge,prisoner,noun-en,
,extrem,extreme,adjective,
en,förbindelse,connection,noun-en,
ett,angrepp,attack,noun-ett,
att,lansera,launch,verb,
en,saga,fairy tale,noun-en,
att,basera,base,verb,e.g. basera på
en,cykel,bike,noun-en,
en,design,design,noun-en,
,frivillig,voluntary,adjective,
,med,with,prep,
,västra,western,adjective,
,påverkan,impact,noun-en,
en,verkan,effect,noun-en,
,ful,ugly,adjective,
en,kongress,congress,noun-en,
att,skära,cut,verb,e.g. skära av/ut
ett,testamente,testament,noun-ett,
,gul,yellow,adjective,
,skriftlig,written,adjective,
en,våg,wave,noun-en,
,årlig,annual,adjective,
en,reservation,reservation,noun-en,
,rättvis,equitable,adjective,
ett,yrke,profession,noun-ett,
ett,århundrade,century,noun-ett,
ett,anslag,appropriation,noun-ett,
en,drog,drug,noun-en,
att,gömma,hide,verb,e.g. gömma sig
,äkta,genuine,adjective,
,intellektuell,intellectual,adjective,
en,kejsare,emperor,noun-en,
en,planering,planning,noun-en,
en,släkt,family,noun-en,
en,drottning,queen,noun-en,
att,uppträda,act,verb,
att,övergå,pass,verb,
,het,hot,adjective,
ett,läkemedel,drug,noun-ett,
en,utformning,configuration,noun-en,
,elektronisk,electronic,adjective,
,obligatorisk,compulsory,adjective,
att,investera,invest,verb,
en,fond,fund,noun-en,
,dubbel,double,adjective,
att,uppkomma,arise,verb,
att,somna,fall asleep,verb,
ett,ställningstagande,position,noun-ett,
att,utesluta,exclude,verb,
en,frukost,breakfast,noun-en,
en,förhoppning,hope,noun-en,
,facklig,union,adjective,
en,prognos,forecast,noun-en,
en,sannolikhet,probability,noun-en,
en,advokat,lawyer,noun-en,
,kapitalistisk,capitalist,adjective,
,tveksam,hesitant,adjective,
att,anlända,arrive,verb,
,regn,rain,noun-ett,
att,röja,display,verb,
en,motsats,contrast,noun-en,
en,referens,reference,noun-en,
en,fabrik,factory,noun-en,
,i,in,adverb,
,japansk,japanese,adjective,
,plus,plus,adverb,
,marknadsföring,marketing,noun-en,
att,rena,clean,verb,
en,innebörd,meaning,noun-en,
att,stjäla,steal,verb,
,online,on-line,adverb,
en,omgång,round,noun-en,
att,protestera,protest,verb,
att,tillkomma,apply,verb,
att,bemöta,response,verb,
att,tränga,permeate,verb,e.g. tränga fram/in/ner/undan/upp
,bestående,consisting,adjective,
en,blomma,flower,noun-en,
att,överföra,transfer,verb,
,solidaritet,solidarity,noun-en,
en,lydelse,wording,noun-en,
en,annons,advertisement,noun-en,
en,riksdagsledamot,member of parliament,noun-en,
att,brinna,burn,verb,
att,rinna,run,verb,
en,gärning,act,noun-en,
,samverkan,cooperation,noun-en,
att,rymma,accommodate,verb,
ett,blogginlägg,blogs,noun-ett,
att,sammanfatta,sum,verb,
,östra,eastern,adjective,
att,dröja,linger,verb,
att,avbryta,cancel,verb,
att,gräva,dig,verb,
att,stryka,emphasize,verb,
,kreativ,creative,adjective,
,till,to,adverb,
,intensiv,intensive,adjective,
,sålunda,thus,adverb,
att,roa,entertain,verb,
att,understryka,underline,verb,
ett,glas,glass,noun-ett,
ett,album,album,noun-ett,
ett,territorium,territory,noun-ett,
att,möjliggöra,enable,verb,
en,fördelning,distribution,noun-en,
en,folkomröstning,referendum,noun-en,
ett,skede,phase,noun-ett,
att,markera,mark,verb,
att,skaka,shake,verb,
en,sten,stone,noun-en,
en,vagn,carriage,noun-en,
att,värna,defend,verb,
,hemsk,horrible,adjective,
,kriminell,criminal,adjective,
,saklig,objective,adjective,
,närvarande,present,adjective,
,automatiskt,automatically,adverb,
att,skämma,spoil,verb,e.g. skämma ut sig
att,vittna,testify,verb,
att,spendera,spend,verb,
att,ansvara,responsible,verb,
ett,ledarskap,leadership,noun-ett,
att,trivas,thrive,verb,
en,figur,figure,noun-en,
en,bygd,countryside,noun-en,
en,spridning,proliferation,noun-en,
,lyckad,successful,adjective,
att,le,smile,verb,
en,betalning,payment,noun-en,
att,oroa,worry,verb,e.g. oroa sig
ett,lov,permission,noun-ett,
,motsatt,opposite,adjective,
att,knyta,tie,verb,
,från,from,prep,
en,rekommendation,recommendation,noun-en,
en,ansträngning,effort,noun-en,
ett,institut,institution,noun-ett,
en,kritiker,critic,noun-en,
,övre,upper,adjective,
,moderat,moderate,adjective,
,data,data,noun,(plural)
ett,hörn,corner,noun-ett,
,inhemsk,domestic,adjective,
en,öl,beer,noun-en,
en,ängel,angel,noun-en,
,blott,only,adverb,
att,förhålla,relatively,verb,
att,förhålla,relatively,verb,
en,park,park,noun-en,
ett,regelverk,acquis,noun-ett,
en,nackdel,disadvantage,noun-en,
ett,vittne,witness,noun-ett,
,ljus,light,adjective,
,medvetet,consciously,adverb,
,gas,gas,noun-en,
att,tipsa,tip,verb,
en,våldtäkt,rape,noun-en,
att,boka,reserve,verb,
,sådan,such,det,
,ekologisk,ecological,adjective,
att,återfinna,retrieve,verb,
,huvudsakligen,mainly,adverb,
att,överge,abandon,verb,
en,ockupation,occupation,noun-en,
,likaså,also,adverb,
att,bringa,bring,verb,
att,hylla,praise,verb,
en,sammanfattning,summary,noun-en,
en,liberal,liberal,noun-en,
en,graf,graph,noun-en,
ett,slott,castle,noun-ett,
ett,anspråk,claim,noun-ett,
en,motsättning,opposition,noun-en,
ett,byte,change,noun-ett,
,logik,logic,noun-en,
att,resonera,reason,verb,
ett,tempel,temple,noun-ett,
en,krönika,chronicle,noun-en,
att,tillbringa,spend,verb,
en,kopia,copy,noun-en,
en,instans,instance,noun-en,
en,företagare,entrepreneurs,noun-en,
ett,medlemskap,membership,noun-ett,
,egentlig,real,adjective,
,landsbygd,countryside,noun-en,
,integration,integration,noun-en,
en,gest,gesture,noun-en,
,tyst,silent,adverb,
att,längta,long,verb,e.g. längta efter
en,föreskrift,regulation,noun-en,
,generellt,generally,adverb,e.g. generellt sett
ett,konto,account,noun-ett,
,ju,the,conj,e.g. ju mer…desto bättre
,tämligen,rather,adverb,
,då,then,adverb,
att,ryka,smoke,verb,
en,reglering,control,noun-en,
,misstänkt,suspected,adjective,
ett,paket,package,noun-ett,
att,bete,bait,verb,
,kollektiv,collective,adjective,
en,fotograf,photographer,noun-en,
,vänlig,friendly,adjective,
en,hemlighet,secret,noun-en,
,administrativ,administrative,adjective,
att,dansa,dance,verb,
ett,tillägg,addition,noun-ett,
ett,fordon,vehicle,noun-ett,
att,nöja,satisfy,verb,
att,kliva,step,verb,
en,bro,bridge,noun-en,
ett,mandat,mandate,noun-ett,
en,inledning,introduction,noun-en,
ett,införande,introduction,noun-ett,
att,antyda,suggest,verb,
att,innefatta,contain,verb,
att,kommunicera,communicate,verb,
,praktiskt,practically,adverb,e.g. praktiskt taget
en,förmån,benefit,noun-en,
en,motivering,justification,noun-en,
,tystnad,silence,noun-en,
en,valuta,currency,noun-en,
att,genomgå,undergo,verb,
,nåd,grace,noun-en,
en,redaktion,editorial,noun-en,
,extern,external,adjective,
en,sfär,sphere,noun-en,
ett,flygplan,aircraft,noun-ett,
en,kamrat,companion,noun-en,
en,premiärminister,prime minister,noun-en,
en,botten,bottom,noun-en,
,västerländsk,western,adjective,
en,skala,scale,noun-en,
en,utsikt,view,noun-en,
att,besegra,defeat,verb,
att,utfärda,issue,verb,
att,stimulera,stimulate,verb,
,kraftfull,powerful,adjective,
att,utöka,broaden,verb,
att,angripa,attack,verb,
ett,utseende,appearance,noun-ett,
en,promenad,walk,noun-en,
,universum,universe,noun-ett,
,vanligtvis,usually,adverb,
en,pensionär,pensioner,noun-en,
,redo,ready,adjective,
en,järnväg,railway,noun-en,
,jämn,smooth,adjective,
ett,utbyte,exchange,noun-ett,
,öppenhet,openness,noun-en,
en,grundval,basis,noun-en,
att,attackera,attack,verb,
att,slita,tear,verb,
en,förskola,preschool,noun-en,
,föregående,previous,adjective,
att,föreskriva,provide,verb,
,inspiration,inspiration,noun-en,
en,anhängare,supporters,noun-en,
att,hyra,rent,verb,e.g. hyra ut
en,kärna,core,noun-en,
,över,over,adverb,
att,löpa,run,verb,
ett,blad,leaf,noun-ett,
,gårdag,yesterday,noun-en,e.g. under gårdagen
att,tillföra,supplying,verb,
,trovärdighet,credibility,noun-en,
ett,varv,turn,noun-ett,
,värdighet,dignity,noun-en,
en,dans,dance,noun-en,
,osäkerhet,uncertainty,noun-en,
,enstaka,single,adjective,
ett,flyg,flight,noun-ett,
en,vana,habit,noun-en,
en,spänning,voltage,noun-en,
ett,anfall,attack,noun-ett,
att,utarbeta,develop,verb,
att,skrämma,scare,verb,
en,nyckel,key,noun-en,
en,skribent,author,noun-en,
en,garanti,guarantee,noun-en,
,sakta,slowly,adverb,
att,tillsätta,adding,verb,
en,tvekan,hesitation,noun-en,
en,tand,tooth,noun-en,
att,yrka,strength,verb,
,tacksam,grateful,adjective,
att,tävla,compete,verb,
,bortom,beyond,prep,
att,utbilda,train,verb,
ett,hemland,homeland,noun-ett,
,utav,out of,prep,
att,avvisa,reject,verb,
,potentiell,potential,adjective,
,sovjetisk,soviet,adjective,
ett,skepp,ship,noun-ett,
en,utgång,output,noun-en,
,skrämmande,scary,adjective,
,omedelbar,immediate,adjective,
en,partner,partner,noun-en,
,rejält,considerably,adverb,
en,kapacitet,capacity,noun-en,
ett,genomsnitt,average,noun-ett,
,värdig,worthy,adjective,
ett,gymnasium,gymnasium,noun-ett,
att,umgås,socialize,verb,
ett,knä,knee,noun-ett,
ett,element,element,noun-ett,
,fredlig,peaceful,adjective,
,smal,thin,adjective,
en,gubbe,old man,noun-en,
att,arrangera,arrange,verb,
en,skugga,shadow,noun-en,
att,pressa,press,verb,
,självständighet,autonomy,noun-en,
,densamma,same,pronoun,
,slutlig,final,adjective,
,tvivel,doubt,noun-ett,e.g. utan tvivel
att,fälla,trap,verb,
att,smaka,taste,verb,
,näst,second,adverb,
ett,utbud,range,noun-ett,
en,opinion,opinion,noun-en,
att,värdera,evaluate,verb,
,allvarligt,seriously,adverb,
,formell,formal,adjective,
,dagligen,daily,adverb,
,ursprungligen,originally,adverb,
,vidare,further,adjective,
att,fördela,distribute,verb,
,ovanligt,unusual,adverb,
att,reducera,reduce,verb,
,vanligt,plain,adverb,
ett,skadestånd,damages,noun-ett,
att,kopiera,copy,verb,
en,övergång,transition,noun-en,
,anhörig,relative,adjective,
,ångest,anxiety,noun-en,
en,vakt,guard,noun-en,
att,förhandla,negotiate,verb,
att,koncentrera,concentrate,verb,e.g. koncentrera sig
en,tabell,chart,noun-en,
en,önskan,wish,noun-en,
en,konsert,concert,noun-en,
en,teckning,drawing,noun-en,
att,avgå,resign,verb,
en,grav,grave,noun-en,
en,agenda,agenda,noun-en,
ett,samfund,society,noun-ett,
en,krets,circuit,noun-en,
,kunglig,royal,adjective,
en,anmälan,notification,noun-en,
att,inneha,hold,verb,
en,soffa,sofa,noun-en,
,stabilitet,stability,noun-en,
ett,förnuft,sense,noun-ett,
,därav,thereof,adverb,
en,tredjedel,third,noun-en,
,ovanstående,above,adjective,
,trovärdig,credible,adjective,
att,strunta,ignore,verb,e.g. strunta i
,akademisk,academic,adjective,
,permanent,permanent,adjective,
,nyttig,useful,adjective,
en,invändning,objection,noun-en,
en,våning,floor,noun-en,
,långsamt,slowly,adverb,
,vild,wild,adjective,
,propaganda,propaganda,noun-en,
,troende,believer,adjective,
ett,exemplar,copy,noun-ett,
en,resolution,resolution,noun-en,
,ekonomiskt,economically,adverb,
,därpå,thereon,adverb,
en,formulering,formulation,noun-en,
,ihjäl,to death,particle,
,såväl,both,conj,
att,instämma,concur,verb,
ett,halvår,six months,noun-ett,
att,debattera,debate,verb,
en,idiot,idiot,noun-en,
,yttersta,utmost,adjective,
,intill,next to,prep,
,torr,dry,adjective,
,söt,sweet,adjective,
en,socialist,socialist,noun-en,
att,anordna,organize,verb,
,besviken,disappointed,adjective,
en,lektion,lesson,noun-en,
,ledsen,sorry,adjective,
,grattis,congratulations,interj,
,sistnämnd,later,adjective,
,tragisk,tragic,adjective,
en,teater,theater,noun-en,
att,försäkra,ensure,verb,
ett,ideal,ideal,noun-ett,
,vice,vice,adjective,
en,hantering,management,noun-en,
en,målsättning,objective,noun-en,
att,begripa,comprehend,verb,
ett,upphov,rise,noun-ett,
att,kränka,violate,verb,
,i,in,adverb,
en,hals,throat,noun-en,
,mån,mon,noun,e.g. i mån av
en,stam,tribe,noun-en,
,journalistik,journalism,noun-en,
en,intäkt,revenue,noun-en,
,mjuk,soft,adjective,
,Bproper,bproper,noun-en,
,grå,gray,adjective,
en,profil,profile,noun-en,
att,krossa,crush,verb,
en,partiledare,party leader,noun-en,
en,centimeter,centimeter,noun-en,
att,övertyga,convince,verb,
,romersk,roman,adjective,
att,sörja,pine,verb,
att,inspirera,inspire,verb,
en,övertygelse,conviction,noun-en,
,stackars,poor,adjective,
en,sänkning,lowering,noun-en,
en,potential,potential,noun-en,
ett,antagande,adoption,noun-ett,
att,tilldela,assign,verb,
en,biljett,ticket,noun-en,
att,motsätta,opposing,verb,
,komplex,complex,adjective,
,skadad,damaged,adjective,
en,begäran,request,noun-en,
en,arena,arena,noun-en,
en,kust,coastal,noun-en,
ett,åtal,prosecution,noun-ett,
en,dimension,dimension,noun-en,
,internationellt,internationally,adverb,
,nationellt,nationally,adverb,
en,hållning,posture,noun-en,
en,gen,gene,noun-en,
ett,lugn,quiet,noun-ett,
att,döpa,baptize,verb,
en,fantasi,fantasy,noun-en,
en,spets,tip,noun-en,
att,avsätta,set aside,verb,
en,fundering,reflection,noun-en,
att,kombinera,combine,verb,
att,observera,note,verb,
att,intressera,interest,verb,e.g. intressera sig
,uppåt,up,adverb,
en,fas,phase,noun-en,
ett,dop,baptism,noun-ett,
,professionell,professional,adjective,
att,klippa,cut,verb,e.g. klippa sig
,trist,sad,adjective,
,ombord,on board,adverb,
att,sparka,kick,verb,
en,klimatförändring,climate,noun-en,
att,undervisa,teach,verb,
,dåvarande,then,adjective,
en,varning,warning,noun-en,
ett,ton,t,noun-ett,
,tänkbar,possible,adjective,
,villig,willing,adjective,
en,station,station,noun-en,
en,släkting,relative,noun-en,
,övrigt,other,adverb,"e.g. i övrigt, för övrigt"
,giltig,valid,adjective,
,gudomlig,divine,adjective,
,objektiv,objective,adjective,
en,brand,fire,noun-en,
,meningslös,meaningless,adjective,
att,yttra,speak,verb,
en,minskning,reduction,noun-en,
en,axel,shoulder,noun-en,
att,försämra,impair,verb,
en,motor,engine,noun-en,
,i,in,adverb,
en,konstruktion,construction,noun-en,
ett,arkiv,file,noun-ett,
ett,äventyr,adventure,noun-ett,
,oj,oh,interj,
,Sverige,sweden,proper name,
,humor,humor,noun-en,
,like,like,noun,e.g. utan dess like
en,paragraf,paragraph,noun-en,
att,odla,grow,verb,
ett,erbjudande,offer,noun-ett,
att,vidga,widen,verb,
en,volym,volume,noun-en,
att,motsätta,opposing,verb,
ett,missbruk,abuse,noun-ett,
att,utvidga,extend,verb,
,snarast,urgently,adverb,
en,uppmaning,call,noun-en,
en,kram,hug,noun-en,
att,intervjua,interview,verb,
ett,livsmedel,food,noun-ett,
en,anklagelse,accusation,noun-en,
att,cykla,cycling,verb,
en,samordning,coordination,noun-en,
,dessvärre,unfortunately,adverb,
,oklar,unclear,adjective,
en,företeelse,phenomenon,noun-en,
att,offra,sacrifice,verb,
ett,lager,stock,noun-ett,
ett,arbetsliv,working,noun-ett,
,lysande,brilliant,adjective,
ett,bränsle,fuel,noun-ett,
en,finanskris,financial crisis,noun-en,
,nödvändigtvis,necessarily,adverb,
,gott,good,adverb,
,medeltid,ages,noun-en,e.g. medeltiden
,strävan,quest,noun,
en,hastighet,speed,noun-en,
en,kö,queue,noun-en,
ett,medvetande,consciousness,noun-ett,
en,producent,producer,noun-en,
,så,so,adverb,
,vetande,knowledge,noun-ett,
,i,in,prep,
,dylik,such,adjective,
att,installera,install,verb,
att,utge,issue,verb,
en,förberedelse,preparation,noun-en,
en,fördom,prejudice,noun-en,
,synnerligen,particularly,adverb,
,i,in,prep,
ett,åtagande,commitment,noun-ett,
att,tillkännage,announce,verb,
ett,kaos,chaos,noun-ett,
en,mästare,master,noun-en,
att,utmana,challenge,verb,
en,drift,operation,noun-en,
ett,hundratal,hundred,noun-ett,
en,måne,moon,noun-en,
att,bita,bite,verb,
,blandad,mixed,adjective,
en,hjälte,hero,noun-en,
att,skänka,give,verb,
,tillämplig,applicable,adjective,
,betydelsefull,important,adjective,
ett,synsätt,approach,noun-ett,
en,ström,current,noun-en,
att,förse,provide,verb,
en,mätning,measurement,noun-en,
,massiv,massive,adjective,
en,atmosfär,atmosphere,noun-en,
en,mall,template,noun-en,
en,personlighet,personality,noun-en,
en,gren,branch,noun-en,
,väldig,vast,adjective,
,effektivt,effective,adverb,
,vanligen,usually,adverb,
ett,koncept,concepts,noun-ett,
,välkänd,well known,adjective,
en,förebild,role model,noun-en,
,uppenbart,clear,adverb,
ett,recept,prescription,noun-ett,
en,föreläsning,lecture,noun-en,
,antisemitism,antisemitism,noun-en,
,geografisk,geographical,adjective,
,grafisk,graphic,adjective,
en,upplysning,information,noun-en,
en,general,general,noun-en,
en,administration,administration,noun-en,
ett,bröst,breast,noun-ett,
,tills,until,prep,
ett,patent,patent,noun-ett,
en,befogenhet,authority,noun-en,
,skarp,sharp,adjective,
,islamisk,islamic,adjective,
,vem,who,pronoun,
att,förverkliga,realize,verb,
en,prioritering,priority,noun-en,
att,vistas,staying,verb,
,regelbundet,regularly,adverb,
en,depression,depression,noun-en,
en,effektivitet,efficiency,noun-en,
,inne,in,particle,
,likväl,nevertheless,adverb,
en,blandning,mixture,noun-en,
att,datera,date,verb,
en,final,final,noun-en,
,tjock,thick,adjective,
att,erövra,conquer,verb,
,höger,right,noun,e.g. till höger
en,sträcka,stretch,noun-en,
att,vaka,watch,verb,
,polsk,polish,adjective,
en,bomb,bomb,noun-en,
en,tår,tear,noun-en,
en,fackförening,trade union,noun-en,
,utvald,chosen,adjective,
en,placering,investment,noun-en,
,huvudsaklig,main,adjective,
ett,avfall,waste,noun-ett,
,gigantisk,giant,adjective,
en,väntan,waiting,noun-en,
en,turnering,tournament,noun-en,
en,uppvärmning,heating,noun-en,
ett,djup,depth,noun-ett,
en,praxis,practice,noun-en,
,okej,okay,interj,
,maximal,maximum,adjective,
en,konstitution,constitution,noun-en,
,otrolig,incredible,adjective,
,fruktansvärd,terrible,adjective,
att,straffa,punish,verb,
,sådär,like that,adverb,
en,nödvändighet,necessity,noun-en,
ett,medlemsland,member state,noun-ett,
en,översyn,review,noun-en,
,blind,blind,adjective,
en,front,front,noun-en,
att,fördöma,condemn,verb,
,synlig,visible,adjective,
,fint,fine,adverb,
en,skapelse,creation,noun-en,
att,rasa,rage,verb,
,verksam,active,adjective,
att,avlida,die,verb,
,fullkomligt,completely,adverb,
,teoretisk,theoretical,adjective,
att,flyta,float,verb,
ett,urval,selection,noun-ett,
att,binda,bind,verb,
,fett,fat,noun-ett,
ett,erkännande,recognition,noun-ett,
en,hälsning,greeting,noun-en,
en,idrott,sports,noun-en,
en,debattartikel,debate article,noun-en,
att,belysa,illustrate,verb,
,emellan,between,prep,
att,övervaka,monitor,verb,
,lagom,moderate,adverb,
,sömn,sleep,noun-en,
ett,proletariat,proletariat,noun-ett,
ett,önskemål,requests,noun-ett,
att,förlåta,forgive,verb,
,sammanlagt,total,adverb,
en,slav,slave,noun-en,
en,näsa,nose,noun-en,
,däribland,amongst,adverb,
en,export,export,noun-en,
en,nedgång,decline,noun-en,
en,vinkel,angle,noun-en,
ett,experiment,experiment,noun-ett,
,allierad,ally,adjective,
,arbetstid,working hours,noun-en,
en,flagga,flag,noun-en,
att,uppdatera,update,verb,
ett,block,block,noun-ett,
,feminism,feminism,noun-en,
en,skattebetalare,taxpayer,noun-en,
en,globalisering,globalization,noun-en,
,miljontals,millions,adverb,
,obehaglig,unpleasant,adjective,
,ondska,evil,noun-en,
,önskvärd,desirable,adjective,
,anpassad,custom,adjective,
,mysig,cozy,adjective,
,norr,north,noun,e.g. i norr
,andning,breath,noun,
att,motta,receive,verb,
att,utspela,staking,verb,
,exakt,exactly,adjective,
en,elit,elite,noun-en,
en,inverkan,impact,noun-en,
,akut,acute,adjective,
att,kvarstå,remain,verb,
,troligtvis,belike,adverb,
,konkurs,bankruptcy,noun-en,e.g. gå i konkurs
en,center,center,noun-en,
,än,than,adverb,
,dramatisk,dramatic,adjective,
att,låtsas,pretend,verb,
,underlig,strange,adjective,
en,förlängning,extension,noun-en,
att,segla,sail,verb,
,försiktig,careful,adjective,
,himla,heavenly,adverb,
ett,inbördeskrig,civil war,noun-ett,
,vid,at,prep,
,grym,cruel,adjective,
,tunn,thin,adjective,
en,grundlag,constitution,noun-en,
,realistisk,realistic,adjective,
att,tvätta,wash,verb,e.g. tvätta sig
,enormt,huge,adverb,
,litterär,literary,adjective,
en,mobiltelefon,cellular phone,noun-en,
,dominerande,dominant,adjective,
att,framkomma,emerge,verb,
,misshandel,assault,noun-en,
att,skildra,depict,verb,
,förbannad,cursed,adjective,
en,anpassning,adaptation,noun-en,
en,redaktör,editor,noun-en,
,behörig,competent,adjective,
en,last,load,noun-en,
en,arbetarrörelse,labor,noun-en,
,liberalism,liberalism,noun-en,
en,presentation,presentation,noun-en,
,stress,stressful,noun-en,
att,försörja,support,verb,
ett,objekt,object,noun-ett,
ett,omslag,cover,noun-ett,
,absurd,absurd,adjective,
,kvalificerad,qualified,adjective,
en,trappa,staircase,noun-en,
,offentligt,publicly,adverb,
att,röka,smoke,verb,
en,valrörelse,election campaign,noun-en,
att,anfalla,attack,verb,
,rådande,current,adjective,
att,spåra,track,verb,
en,upplaga,edition,noun-en,
,ordentlig,proper,adjective,
att,klä,dress,verb,e.g. klä av sig/klä på sig
en,ambassad,embassy,noun-en,
att,konkurrera,compete,verb,
,ovanför,above,prep,
ett,skämt,joke,noun-ett,
att,tända,light,verb,
en,anslutning,connection,noun-en,
att,backa,reverse,verb,
,loss,loose,particle,
ett,samvete,conscience,noun-ett,
,fastän,although,subj,
